-- No Theme --,-- Nici o tema --,module,Magento_Config
-- Please Select --,-- Selectati --,module,Magento_Backend
-- Please Select --,-- Selectati --,module,Magento_Catalog
-- Please select --,-- Selectati --,module,Magento_Catalog
-- Please Select --,-- Selectati --,module,Magento_Cms
-- Please Select --,-- Selectati --,module,Magento_Customer
%value%' looks like a DNS hostname but we cannot match the TLD against known list.,"%value%' arata ca un nume de gazda DNS, dar TLS-ul nu coincide cu lista cunoscuta.",module,Magento_Eav
"%value%' looks like a local network name, which is not an acceptable format.","%value%' arata ca un nume de retea locala, care nu este un format acceptat.",module,Magento_Customer
"%value%' looks like a local network name, which is not an acceptable format.","%value%' arata ca un nume de retea locala, care nu este un format acceptat.",module,Magento_Eav
"%value%' looks like an IP address, which is not an acceptable format.","%value%' arata ca o adresa IP, care nu este un format acceptat.",module,Magento_Customer
"%value%' looks like an IP address, which is not an acceptable format.","%value%' arata ca o adresa IP, care nu este un format acceptat.",module,Magento_Eav
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimare chitanta</a>",module,Magento_Checkout
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>",module,Magento_Review
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Afla mai multe</a>.",module,Magento_Cookie
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">începeti acceptarea platilor prin PayPal!</a>",module,Magento_Paypal
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
  <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
  from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front a€“ at no additional cost to you.
  Use PayPala€™s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
  The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
  or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">De ce sa promovati finantarea?</a><br/>
  <strong>Acordati un impuls vanzarilor dumneavoastra atunci cand promovati finantarea.</strong><br/>PayPal ajuta la transformarea browser-elor în cumparatori cu finantare
  de la Credit PayPal&#174;. Clientii dumneavoastra vor avea mai mult timp la dispozitie pentru plata, în timp ce dumneavoastra sunteti platit în avans a€“ fara costuri suplimentare.
  Utilizati reclamele-banner gratuite PayPala€™scare va permit sa promovati Creditul PayPal&#174; finantarea ca optiune de plata atuci cand clientii dumneavoastra efectueaza checkout cu PayPal.
  Programul de promovare PayPal a dovedit generarea de achizitii suplimentare, precum si cresterea mediei de achizitie a clientulor cu 15%
  sau mai mult. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Mai multe detalii</a>.",module,Magento_Paypal
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
  <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
  from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front a€“ at no additional cost to you.
  Use PayPala€™s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
  The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
  or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">De ce sa promovati finantarea?</a><br/>
  <strong>Acordati un impuls vanzarilor dumneavoastra atunci cand promovati finantarea.</strong><br/>PayPal ajuta la transformarea browser-elor în cumparatori cu finantare
  de la Credit PayPal&#174;. Clientii dumneavoastra vor avea mai mult timp la dispozitie pentru plata, în timp ce dumneavoastra sunteti platit în avans a€“fara costuri suplimentare.
  Utilizati reclamele-banner gratuite PayPala€™s care va permit sa promovati Creditul PayPal&#174; finantarea ca optiune de plata atuci cand clientii dumneavoastra efectueaza checkout cu PayPal.
  Programul de promovare PayPal a dovedit generarea de achizitii suplimentare, precum si cresterea mediei de achizitie a clientulor cu 15%
  sau mai mult. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Mai multe detalii</a>.",module,Magento_Paypal
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Eroare</h1><p>Pagina nu a fost gasita.</p>",module,Magento_Backend
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>",module,Magento_Catalog
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>",module,Magento_Catalog
<pre>' . . . . '</pre>,<pre>' . . . . '</pre>,module,Magento_Email
"<span class=""label"">Order Date:</span> %1","<span class=""eticheta"">Data comanda:</span> %1",module,Magento_Sales
<span>Item %1</span> of %2,<span>Articolul %1</span> din %2,module,Magento_GiftMessage
